Type,Name,Origin,Korean
text_jp,,オ、オマエ……大丈夫なのかぁ！？,아앗! 너 괜찮아?
text_jp,,んん～？致命傷を与えたと思ったの<br>ですがねェ……,음~? 치명상을 입힌줄<br>알았는데말이죠오..
text_jp,,まぁいいでしょう。<br>ヒドラ！ 可愛がってあげなさいィ！,뭐 됐어요.<br> 히드라! 해치워버리세요옷!
text_jp,,ぜ、全然効いてねぇぞ！？,"전, 전혀 효과가 없는데?"
text_jp,,大丈夫です……！,괜찮아요...!
text_jp,,どうしたんですかァ？<br>全然効いてませんネェ～,왜 그러죠오?<br> 저언혀 효과가 없는데요오
text_jp,,野郎！ <br>…とにかく攻撃するしかねぇ！！,이 녀석! <br>…어쨌든 공격할 수 밖에 없어!!
text_jp,,もう、飽きてきたですネェ…<br>そろそろ終わりにしなさいですネェ！,이제 질리네요오..<br>슬슬 끝내세요옷!
text_jp,,ば、万事休すかぁーッ！？<br>ちくしょう！！,전부 끝인가!?<br>젠장!!
text_jp,,準備ができました！<br>星晶の力…あなたに預けます！！,준비가됐어요!<br>성정의 힘...당신에게 맡길게요!!
