Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt180531_cp0_q1_s10,synopsis,,かつて、とある島にひとりの地味な少女がいた。陰に隠れて無難に日々を過ごす少女は、気疲れを感じると古本屋に逃げ込む日々を過ごしてきた。しかし、ある時、少女に転機が訪れる。男性同士を趣旨とした『耽美絵物語』という文化に触れた少女は、耽美モノの絵師になるという夢を持つのだった。
Japanese,scene_evt180531_cp0_q1_s10,detail,,<span class='scene-font-gray'>とある島に、</span><br><span class='scene-font-gray'>ひとりの地味な少女がいました──</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,,<span class='scene-font-gray'>彼女は勉強も運動も不得意で、</span><br><span class='scene-font-gray'>コミュニケーションも駄目で、</span><br><span class='scene-font-gray'>なんの取り柄もありませんでした。</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,地味な少女,しょうがないわよね……<br>皆が皆、主役になれる訳ではないもの。
Japanese,scene_evt180531_cp0_q1_s10,detail,,<span class='scene-font-gray'>勉強も運動も、</span><br><span class='scene-font-gray'>笑われない程度にがんばろう。</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,,<span class='scene-font-gray'>会話も人間関係も、</span><br><span class='scene-font-gray'>嫌われない程度にがんばろう。</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,,<span class='scene-font-gray'>本当はひとりが好きだけれど、</span><br><span class='scene-font-gray'>部屋に籠もると家族が心配するので、</span><br><span class='scene-font-gray'>たまには公園に行ったりもしました。</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,,<span class='scene-font-gray'>でもそこはいつも笑顔で溢れていて、</span><br><span class='scene-font-gray'>わたしはいつも頬が疲れてしまいます。</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,地味な少女,しょうがないわよね……<br>ちゃんと楽しめない、<br>わたしが悪いんだもの。
Japanese,scene_evt180531_cp0_q1_s10,detail,,<span class='scene-font-gray'>それでも、</span><br><span class='scene-font-gray'>どうしてもの時は、</span><br><span class='scene-font-gray'>街の片隅の古本屋さんに避難しました。</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,,<span class='scene-font-gray'>紙のにおいと、明るい日陰。</span><br><span class='scene-font-gray'>わたしの一番ホッと出来る場所。</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,,<span class='scene-font-gray'>書物を探すフリして本棚を回り、</span><br><span class='scene-font-gray'>題名で内容を想像するのが好きでした。</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,,<span class='scene-font-gray'>店主のおばあさんは何も言いません。</span><br><span class='scene-font-gray'>わたしをちらりと見て読書を続けます。</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,,<span class='scene-font-gray'>毎日毎日、そうして過ごしました。</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,,<span class='scene-font-gray'>毎年毎年、そうして過ごしました。</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,,<span class='scene-font-gray'>この先もずっと、</span><br><span class='scene-font-gray'>そうして過ごすんだと思います──</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,地味な少女,<span class='scene-font-4'>うあぁぁぁッ！？</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,地味な少女,な、何、この書物？<br>ただの絵物語じゃない……？
Japanese,scene_evt180531_cp0_q1_s10,detail,地味な少女,どういう事なの？<br>男と男が何をしてるの？
Japanese,scene_evt180531_cp0_q1_s10,detail,地味な少女,<span class='scene-font-4'>ねえ、ナニをしてるの！？</span>
Japanese,scene_evt180531_cp0_q1_s10,detail,地味な少女,はあぁ……<br>うはあぁぁぁ……
Japanese,scene_evt180531_cp0_q1_s10,detail,地味な少女,ゴクリ……
Japanese,scene_evt180531_cp0_q1_s10,detail,地味な少女,おぉぉぉぉぉ……
Japanese,scene_evt180531_cp0_q1_s10,detail,地味な少女,────……
Japanese,scene_evt180531_cp0_q1_s10,detail,地味な少女,…………
Japanese,scene_evt180531_cp0_q1_s10,detail,地味な少女,綺麗……<br>男性同士だけど……どうして……
Japanese,scene_evt180531_cp0_q1_s10,detail,地味な少女,うぅん……きっと……<br>男性同士でないと描けないんだわ……
